ID,Brand,Category,Gender,Name,Image URL
0,Brooks Brothers,Pants,Women,Stretch Supima® Cotton Five-Pocket Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WU00458_LIGHT-BEIGE
1,Brooks Brothers,Pants,Women,Stretch Cotton Sateen Wide-Leg Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LU00066_WHITE
2,Brooks Brothers,Pants,Women,Stretch Cotton Sateen Patch Pocket Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SU00138_LIGHT-PINK
3,Brooks Brothers,Pants,Women,Stretch Cotton Sateen Pleated Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LU00067_NAVY
4,Brooks Brothers,Pants,Women,Flat-Front Stretch Advantage Chino® Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WU00320_STONE
5,Brooks Brothers,Pants,Women,Stretch Denim Jeans,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SU00100_LIGHT-WASH
6,Brooks Brothers,Pants,Women,Stretch Cotton Twill Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SU00117_WHITE
7,Brooks Brothers,Pants,Women,Striped Stretch Cotton Seersucker Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WU00405_BLUE-WHITE
8,Brooks Brothers,Pants,Women,Stretch Cotton Sateen Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SU00130_NAVY
9,Brooks Brothers,Pants,Women,Pinstriped Linen Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WU00467_PEACH
10,Brooks Brothers,Pants,Women,Double-Weave Pleated Ankle Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WU00460_LIGHT-GREY
11,Brooks Brothers,Pants,Women,Slim-Fit Wool Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WU00399_BLACK
12,Brooks Brothers,Pants,Women,Stretch Denim Jeans,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SU00067_DARK-BLUE
13,Brooks Brothers,Pants,Women,Linen Wide-Leg Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LU00065_LIGHT-BEIGE
14,Brooks Brothers,Pants,Women,Stretch Cotton Twill Ankle Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SU00131_KHAKI
15,Brooks Brothers,Pants,Women,Cropped Wide-Leg Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SU00139_BLACK
