ID,Brand,Category,Name,Price,Image URL
0,BOSS,Blouses,Silk-blend blouse with gathered neckline,"
HK$ 2,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50363436_112_350?$large$=&fit=crop%2C1&align=1%2C1
1,BOSS,Blouses,Relaxed-fit blouse in a printed cotton-silk blend,"
HK$ 1,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50448832_976_350?$large$=&fit=crop%2C1&align=1%2C1
2,BOSS,Blouses,Relaxed-fit blouse in organic cotton with adjustable sleeves,"
HK$ 2,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50454037_100_350?$large$=&fit=crop%2C1&align=1%2C1
3,BOSS,Blouses,Slim-fit blouse with darted seam detail ,"
HK$ 1,700.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50290338_100_350?$large$=&fit=crop%2C1&align=1%2C1
4,BOSS,Blouses,Slim-fit blouse with darted seam detail ,"
HK$ 1,700.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50290338_452_350?$large$=&fit=crop%2C1&align=1%2C1
5,BOSS,Blouses,Silk-blend blouse with gathered neckline,"
HK$ 2,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50363436_501_350?$large$=&fit=crop%2C1&align=1%2C1
6,BOSS,Blouses,Relaxed-fit chambray blouse with roll-up sleeves,"
HK$ 1,150.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50436922_100_350?$large$=&fit=crop%2C1&align=1%2C1
7,BOSS,Blouses,Regular-fit blouse in stretch-cotton poplin,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50404953_100_350?$large$=&fit=crop%2C1&align=1%2C1
8,BOSS,Blouses,Relaxed-fit striped blouse in a stretch-cotton blend,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50451402_262_350?$large$=&fit=crop%2C1&align=1%2C1
9,BOSS,Blouses,Stretch-silk crepe-de-chine blouse with gathered neckline,"
HK$ 2,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453554_330_350?$large$=&fit=crop%2C1&align=1%2C1
10,BOSS,Blouses,Slip-on blouse in paper-touch stretch cotton,"
HK$ 2,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453635_001_350?$large$=&fit=crop%2C1&align=1%2C1
11,BOSS,Blouses,Crepe-de-Chine blouse with stand collar,"
HK$ 2,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50425446_466_350?$large$=&fit=crop%2C1&align=1%2C1
12,BOSS,Blouses,Relaxed-fit chambray blouse with roll-up sleeves,"
HK$ 1,150.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50436922_675_350?$large$=&fit=crop%2C1&align=1%2C1
13,BOSS,Blouses,Slip-on blouse in paper-touch stretch cotton,"
HK$ 2,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453635_100_350?$large$=&fit=crop%2C1&align=1%2C1
14,BOSS,Blouses,Relaxed-fit striped blouse in a stretch-cotton blend,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50451402_675_350?$large$=&fit=crop%2C1&align=1%2C1
15,BOSS,Blouses,Relaxed-fit striped blouse in a stretch-cotton blend,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50437147_618_350?$large$=&fit=crop%2C1&align=1%2C1
16,BOSS,Blouses,Long-sleeved blouse in sand-washed silk,"
HK$ 2,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447798_304_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
17,BOSS,Blouses,Crinkle-crepe top with cropped sleeves,"
HK$ 2,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453603_350_350?$large$=&fit=crop%2C1&align=1%2C1
18,BOSS,Blouses,Crepe-jersey top with hardware-trimmed keyhole detail,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50418247_100_350?$large$=&fit=crop%2C1&align=1%2C1
19,BOSS,Blouses,Relaxed-fit striped blouse in a stretch-cotton blend,"
N/A
Price
",https://images.hugoboss.com/is/image/boss/hbeu50437147_330_350?$large$=&fit=crop%2C1&align=1%2C1
20,BOSS,Blouses,Crepe-jersey top with hardware-trimmed keyhole detail,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50418247_001_350?$large$=&fit=crop%2C1&align=1%2C1
21,BOSS,Blouses,Long-sleeved blouse in sand-washed silk,"
HK$ 2,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447798_675_350?$large$=&fit=crop%2C1&align=1%2C1
22,BOSS,Blouses,Sleeveless regular-fit blouse in sand-washed silk,"
HK$ 2,000.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50450569_118_350?$large$=&fit=crop%2C1&align=1%2C1
23,BOSS,Blouses,Relaxed-fit chambray blouse with roll-up sleeves,"
N/A
Price
",https://images.hugoboss.com/is/image/boss/hbeu50436922_330_350?$large$=&fit=crop%2C1&align=1%2C1
24,BOSS,Blouses,Slim-fit blouse with darted seam detail ,"
HK$ 1,700.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50290338_001_350?$large$=&fit=crop%2C1&align=1%2C1
25,BOSS,Blouses,Slim-fit cotton-blend blouse with mock placket ,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50290242_466_350?$large$=&fit=crop%2C1&align=1%2C1
26,BOSS,Blouses,Faux-leather perforated blouse with branded press studs,"
HK$ 2,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50450605_118_350?$large$=&fit=crop%2C1&align=1%2C1
27,BOSS,Blouses,Slim-fit cotton-blend blouse with mock placket ,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50290242_755_350?$large$=&fit=crop%2C1&align=1%2C1
28,BOSS,Blouses,Slim-fit cotton-blend blouse with mock placket ,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50290242_457_350?$large$=&fit=crop%2C1&align=1%2C1
29,BOSS,Blouses,Relaxed-fit blouse in lightweight cotton with stand collar,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50442786_100_350?$large$=&fit=crop%2C1&align=1%2C1
30,BOSS,Blouses,Silk-blend blouse with gathered neckline,"
HK$ 2,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50363436_662_350?$large$=&fit=crop%2C1&align=1%2C1
31,BOSS,Blouses,Regular-fit blouse in crocodile-print canvas,"
HK$ 2,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452946_964_350?$large$=&fit=crop%2C1&align=1%2C1
32,BOSS,Blouses,Regular-fit blouse in organic cotton poplin,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50436923_100_350?$large$=&fit=crop%2C1&align=1%2C1
33,BOSS,Blouses,Slim-fit sleeveless blouse in a cotton blend,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50308681_100_350?$large$=&fit=crop%2C1&align=1%2C1
34,BOSS,Blouses,Relaxed-fit shirt-style blouse in striped stretch fabric,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50443084_501_350?$large$=&fit=crop%2C1&align=1%2C1
35,BOSS,Blouses,Slim-fit sleeveless blouse in a cotton blend,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50308681_457_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
36,BOSS,Blouses,Regular-fit blouse in dot-print canvas,"
HK$ 2,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50457212_001_350?$large$=&fit=crop%2C1&align=1%2C1
37,BOSS,Blouses,Relaxed-fit striped blouse in a stretch-cotton blend,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50437147_450_350?$large$=&fit=crop%2C1&align=1%2C1
38,BOSS,Blouses,Relaxed-fit blouse in cotton-blend twill,"
HK$ 2,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452859_252_350?$large$=&fit=crop%2C1&align=1%2C1
39,BOSS,Blouses,Regular-fit collarless blouse in printed silk,"
HK$ 2,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50451158_976_350?$large$=&fit=crop%2C1&align=1%2C1
40,BOSS,Blouses,Relaxed-fit chambray blouse with roll-up sleeves,"
HK$ 1,150.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50436922_476_350?$large$=&fit=crop%2C1&align=1%2C1
41,BOSS,Blouses,Crocodile-print blouse in pure silk,"
HK$ 2,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50443424_966_350?$large$=&fit=crop%2C1&align=1%2C1
42,BOSS,Blouses,Relaxed-fit blouse in cotton-blend twill,"
HK$ 2,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452859_262_350?$large$=&fit=crop%2C1&align=1%2C1
43,BOSS,Blouses,Silk-blend blouse with gathered neckline,"
HK$ 2,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50363436_476_350?$large$=&fit=crop%2C1&align=1%2C1
44,BOSS,Blouses,Regular-fit collarless blouse in printed silk,"
HK$ 2,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50451158_963_350?$large$=&fit=crop%2C1&align=1%2C1
45,BOSS,Blouses,Regular-fit blouse in washed denim with chest pockets,"
HK$ 2,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452866_451_350?$large$=&fit=crop%2C1&align=1%2C1
46,BOSS,Blouses,Sleeveless regular-fit blouse in sand-washed silk,"
HK$ 2,000.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50450569_755_350?$large$=&fit=crop%2C1&align=1%2C1
47,BOSS,Blouses,Relaxed-fit chambray blouse with roll-up sleeves,"
HK$ 1,150.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50436922_755_350?$large$=&fit=crop%2C1&align=1%2C1
48,BOSS,Blouses,Relaxed-fit overshirt in light-blue stretch denim,"
HK$ 2,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50449498_421_350?$large$=&fit=crop%2C1&align=1%2C1
49,BOSS,Blouses,Striped relaxed-fit blouse in stretch-cotton poplin,"
HK$ 1,700.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50448821_476_350?$large$=&fit=crop%2C1&align=1%2C1
50,BOSS,Blouses,Slim-fit blouse in stretch fabric with jersey back,"
HK$ 2,000.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50446005_100_350?$large$=&fit=crop%2C1&align=1%2C1
