ID,Brand,Category,Name,Price,Image URL
0,BOSS,Trousers,Slim-fit trousers in water-repellent technical twill,"
HK$ 1,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50430357_001_350?$large$=&fit=crop%2C1&align=1%2C1
1,BOSS,Trousers,Regular-fit chinos in two-tone stretch twill,"
HK$ 1,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50443589_078_350?$large$=&fit=crop%2C1&align=1%2C1
2,BOSS,Trousers,Tapered-fit chinos in brushed stretch-cotton satin,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50442037_012_350?$large$=&fit=crop%2C1&align=1%2C1
3,BOSS,Trousers,Slim-fit casual chinos in brushed stretch cotton,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50379152_404_350?$large$=&fit=crop%2C1&align=1%2C1
4,BOSS,Trousers,Slim-fit casual chinos in brushed stretch cotton,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50379152_027_350?$large$=&fit=crop%2C1&align=1%2C1
5,BOSS,Trousers,Slim-fit casual chinos in brushed stretch cotton,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50379152_001_350?$large$=&fit=crop%2C1&align=1%2C1
6,BOSS,Trousers,Tapered-fit trousers in hemp and organic cotton,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447786_026_350?$large$=&fit=crop%2C1&align=1%2C1
7,BOSS,Trousers,Slim-fit trousers in travel-friendly stretch twill,"
HK$ 2,000.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50437895_001_350?$large$=&fit=crop%2C1&align=1%2C1
8,BOSS,Trousers,Slim-fit casual chinos in brushed stretch cotton,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50379152_012_350?$large$=&fit=crop%2C1&align=1%2C1
9,BOSS,Trousers,Tapered-fit chinos in brushed stretch-cotton satin,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50442037_027_350?$large$=&fit=crop%2C1&align=1%2C1
10,BOSS,Trousers,Regular-fit trousers in virgin-wool serge,"
HK$ 2,400.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50318825_001_350?$large$=&fit=crop%2C1&align=1%2C1
11,BOSS,Trousers,Slim-fit casual chinos in brushed stretch cotton,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50379152_239_350?$large$=&fit=crop%2C1&align=1%2C1
12,BOSS,Trousers,Slim-fit chinos in stretch cotton gabardine,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50325936_402_350?$large$=&fit=crop%2C1&align=1%2C1
13,BOSS,Trousers,Tapered-fit chinos in brushed stretch-cotton satin,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50442037_404_350?$large$=&fit=crop%2C1&align=1%2C1
14,BOSS,Trousers,Slim-fit chinos in stretch cotton gabardine,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50325936_001_350?$large$=&fit=crop%2C1&align=1%2C1
15,BOSS,Trousers,Tapered-fit chinos in brushed stretch-cotton satin,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50442037_001_350?$large$=&fit=crop%2C1&align=1%2C1
16,BOSS,Trousers,Slim-fit trousers in melange virgin-wool serge,"
HK$ 1,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50408837_480_350?$large$=&fit=crop%2C1&align=1%2C1
17,BOSS,Trousers,Slim-fit casual chinos in brushed stretch cotton,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50379152_053_350?$large$=&fit=crop%2C1&align=1%2C1
18,BOSS,Trousers,Slim-fit trousers in cotton-blend seersucker,"
HK$ 2,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453742_402_350?$large$=&fit=crop%2C1&align=1%2C1
19,BOSS,Trousers,Tapered-fit chinos in brushed stretch-cotton satin,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50442037_239_350?$large$=&fit=crop%2C1&align=1%2C1
20,BOSS,Trousers,Slim-fit chinos in stretch-cotton gabardine,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50410310_294_350?$large$=&fit=crop%2C1&align=1%2C1
21,BOSS,Trousers,Regular-fit chinos in stretch-cotton gabardine,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50325944_294_350?$large$=&fit=crop%2C1&align=1%2C1
22,BOSS,Trousers,Slim-fit chinos in stretch cotton gabardine,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50325936_294_350?$large$=&fit=crop%2C1&align=1%2C1
23,BOSS,Trousers,Slim-fit casual chinos in brushed stretch cotton,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50379152_272_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
24,BOSS,Trousers,Slim-fit chinos in stretch-cotton gabardine,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50410310_001_350?$large$=&fit=crop%2C1&align=1%2C1
25,BOSS,Trousers,Extra-slim-fit stretch-cotton trousers with micro pattern,"
HK$ 1,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50454426_041_350?$large$=&fit=crop%2C1&align=1%2C1
26,BOSS,Trousers,Slim-fit trousers in melange virgin-wool serge,"
HK$ 1,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50408837_021_350?$large$=&fit=crop%2C1&align=1%2C1
27,BOSS,Trousers,Regular-fit chinos in stretch-cotton gabardine,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50325944_402_350?$large$=&fit=crop%2C1&align=1%2C1
