ID,Brand,Category,Name,Price,Image URL
0,BOSS,Men's T-Shirts,Cotton T-shirt with glow-in-the-dark print,"
HK$ 790.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453648_001_350?$large$=&fit=crop%2C1&align=1%2C1
1,BOSS,Men's T-Shirts,Cotton T-shirt with glow-in-the-dark print,"
HK$ 790.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453648_003_350?$large$=&fit=crop%2C1&align=1%2C1
2,BOSS,Men's T-Shirts,Crew-neck T-shirt in yarn-dyed single jersey,"
HK$ 680.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50385281_100_350?$large$=&fit=crop%2C1&align=1%2C1
3,BOSS,Men's T-Shirts,Relaxed-fit unisex T-shirt in stretch cotton with exclusive logo,"
HK$ 900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50457636_001_350?$large$=&fit=crop%2C1&align=1%2C1
4,BOSS,Men's T-Shirts,Relaxed-fit T-shirt in stretch cotton with layered logo,"
HK$ 680.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50418749_100_350?$large$=&fit=crop%2C1&align=1%2C1
5,BOSS,Men's T-Shirts,Stretch-cotton T-shirt with new-season logo artwork,"
HK$ 900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452864_001_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
6,BOSS,Men's T-Shirts,Crew-neck T-shirt in pure cotton with liquid finishing,"
HK$ 790.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50379310_410_350?$large$=&fit=crop%2C1&align=1%2C1
7,BOSS,Men's T-Shirts,V-neck logo T-shirt in yarn-dyed cotton,"
HK$ 680.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50385258_100_350?$large$=&fit=crop%2C1&align=1%2C1
8,BOSS,Men's T-Shirts,V-neck logo T-shirt in yarn-dyed cotton,"
HK$ 680.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50385258_001_350?$large$=&fit=crop%2C1&align=1%2C1
9,BOSS,Men's T-Shirts,Stretch-cotton T-shirt with botanical logo artwork,"
HK$ 1,000.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50448680_410_350?$large$=&fit=crop%2C1&align=1%2C1
10,BOSS,Men's T-Shirts,Regular-fit T-shirt with contrast detail,"
HK$ 680.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50245195_001_350?$large$=&fit=crop%2C1&align=1%2C1
11,BOSS,Men's T-Shirts,Relaxed-fit unisex T-shirt in stretch cotton with exclusive logo,"
HK$ 1,150.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50457336_404_350?$large$=&fit=crop%2C1&align=1%2C1
12,BOSS,Men's T-Shirts,Logo T-shirt in pure cotton with liquid finishing,"
HK$ 790.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50333808_402_350?$large$=&fit=crop%2C1&align=1%2C1
13,BOSS,Men's T-Shirts,Regular-fit T-shirt in cotton jersey with logo artwork,"
HK$ 790.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453672_689_350?$large$=&fit=crop%2C1&align=1%2C1
14,BOSS,Men's T-Shirts,Cotton-blend T-shirt with striped logo artwork,"
HK$ 900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452846_001_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
15,BOSS,Men's T-Shirts,Relaxed-fit unisex T-shirt in stretch cotton with exclusive logo,"
HK$ 900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50457636_100_350?$large$=&fit=crop%2C1&align=1%2C1
16,BOSS,Men's T-Shirts,Crew-neck T-shirt in yarn-dyed single jersey,"
HK$ 680.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50385281_001_350?$large$=&fit=crop%2C1&align=1%2C1
17,BOSS,Men's T-Shirts,Regular-fit T-shirt in cotton jersey with logo artwork,"
HK$ 790.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453672_001_350?$large$=&fit=crop%2C1&align=1%2C1
18,BOSS,Men's T-Shirts,Crew-neck T-shirt in Pima cotton with photographic print,"
HK$ 790.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453656_002_350?$large$=&fit=crop%2C1&align=1%2C1
19,BOSS,Men's T-Shirts,Crew-neck T-shirt in Pima cotton with photographic print,"
HK$ 790.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453656_102_350?$large$=&fit=crop%2C1&align=1%2C1
20,BOSS,Men's T-Shirts,Logo T-shirt in Pima cotton with degradé print,"
HK$ 900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453673_404_350?$large$=&fit=crop%2C1&align=1%2C1
21,BOSS,Men's T-Shirts,Regular-fit T-shirt in cotton jersey with logo artwork,"
HK$ 790.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453672_101_350?$large$=&fit=crop%2C1&align=1%2C1
22,BOSS,Men's T-Shirts,Relaxed-fit unisex T-shirt in organic cotton with exclusive logo,"
HK$ 1,150.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50457641_034_350?$large$=&fit=crop%2C1&align=1%2C1
23,BOSS,Men's T-Shirts,Relaxed-fit unisex T-shirt in stretch cotton with exclusive logo,"
HK$ 900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50457636_034_350?$large$=&fit=crop%2C1&align=1%2C1
24,BOSS,Men's T-Shirts,Relaxed-fit unisex T-shirt in stretch cotton with exclusive logo,"
HK$ 1,150.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50457336_034_350?$large$=&fit=crop%2C1&align=1%2C1
25,BOSS,Men's T-Shirts,Crew-neck T-shirt in pure cotton with liquid finishing,"
HK$ 790.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50379310_001_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
