ID,Brand,Category,Name,Price,Image URL
0,BOSS,Tops,Gently tailored crepe top ,"
HK$ 1,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50291057_001_350?$large$=&fit=crop%2C1&align=1%2C1
1,BOSS,Tops,Colour-blocked top in stretch silk with cap sleeves,"
HK$ 2,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50448058_466_350?$large$=&fit=crop%2C1&align=1%2C1
2,BOSS,Tops,V-neck top in stretch-silk crepe de Chine,"
HK$ 2,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50294260_112_350?$large$=&fit=crop%2C1&align=1%2C1
3,BOSS,Tops,Gently tailored crepe top ,"
HK$ 1,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50291057_112_350?$large$=&fit=crop%2C1&align=1%2C1
4,BOSS,Tops,Floral-print top with ruched neckline,"
HK$ 2,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50451303_962_350?$large$=&fit=crop%2C1&align=1%2C1
5,BOSS,Tops,Scoop-neck top with logo embroidery ,"
HK$ 680.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447753_100_350?$large$=&fit=crop%2C1&align=1%2C1
6,BOSS,Tops,Slim-fit vest in a ribbed knit,"
HK$ 1,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50460500_350_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
7,BOSS,Tops,Regular-fit racerback top with scoop neckline ,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453969_118_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
8,BOSS,Tops,Gathered-neckline top in Italian satin-back crepe,"
HK$ 2,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447571_118_350?$large$=&fit=crop%2C1&align=1%2C1
9,BOSS,Tops,Sleeveless silk top with all-over print,"
HK$ 2,000.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447598_976_350?$large$=&fit=crop%2C1&align=1%2C1
10,BOSS,Tops,Slim-fit sleeveless top in a ribbed knit,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50408220_466_350?$large$=&fit=crop%2C1&align=1%2C1
11,BOSS,Tops,Slim-fit sleeveless top in a ribbed knit,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50408220_118_350?$large$=&fit=crop%2C1&align=1%2C1
