User_ID,ID,Brand,Category,Category Raw,Gender,Name,Image Location,Price,Customer_Cluster,Shop_Cluster
1,330,Adidas,Jumpers,Mens Sweatshirts _ Hoodies,Mens,  Real Madrid Cny Sweatshirt,Adidas/Mens Sweatshirts _ Hoodies/Adidas 41 REAL MADRID CNY SWEATSHIRT.jpg,,3,1
1,206,Adidas,Polos,Mens Polos,Mens,  Polo Shirt,Adidas/Mens Polos/Adidas 40 POLO SHIRT.jpg,,3,1
1,1447,Calvin Klein Men,Jackets & Coats,Mens Jackets,Mens,  Antistatic Logo Hooded Jacket ,CalvinKleinMen/Mens Jackets/CalvinKleinMen 5 antistatic logo hooded jacket .png,,3,1
1,1485,Calvin Klein Men,Jeans,Mens Jeans,Mens,  Ckj  Body Jeans ,CalvinKleinMen/Mens Jeans/CalvinKleinMen 9 ckj 027 body jeans .png,,3,1
1,1530,Calvin Klein Men,Jumpers,Mens Sweaters,Mens,  Rib Knit Sweater With Quilt Sleeves ,CalvinKleinMen/Mens Sweaters/CalvinKleinMen 15 rib knit sweater with quilt sleeves .png,,3,1
1,1405,Calvin Klein Men,Jumpers,Mens Hoodies,Mens,  Oxidized Print Zip Up Hoodie ,CalvinKleinMen/Mens Hoodies/CalvinKleinMen 34 oxidized print zip up hoodie .png,,3,1
1,1550,Calvin Klein Men,T-Shirts,Mens T-Shirts,Mens,  Organic Cotton Heavyweight T-Shirt ,CalvinKleinMen/Mens T-Shirts/CalvinKleinMen 2 organic cotton heavyweight t-shirt .png,,3,1
1,3861,Muji,Jackets & Coats,Mens Jackets,Mens,  Men_S Organic Cotton Stretch Brushed Jacket,Muji/Mens Jackets/Muji 3 Men_s Organic Cotton Stretch Brushed Jacket.jpg,,3,1
1,4049,Nike,Jackets & Coats,Mens Jackets _ Vests,Mens,  Men_S Jacket,Nike/Mens Jackets _ Vests/Nike 13 Men_s Jacket.png,,3,1
1,4066,Nike,Jackets & Coats,Mens Jackets _ Vests,Mens,  Insulated Men_S Top,Nike/Mens Jackets _ Vests/Nike 29 Insulated Men_s Top.png,,3,1
1,4032,Nike,Jumpers,Mens Hoodies _ Pullovers,Mens,  Washed Men_S Fleece Hoodie,Nike/Mens Hoodies _ Pullovers/Nike 32 Washed Men_s Fleece Hoodie.png,,3,1
1,4162,Nike,T-Shirts,Mens Tops _ T-shirts,Mens,  Men_S Skate T-Shirt,Nike/Mens Tops _ T-shirts/Nike 10 Men_s Skate T-Shirt.png,,3,1
1,4186,Nike,T-Shirts,Mens Tops _ T-shirts,Mens,  Men_S Short-Sleeve T-Shirt,Nike/Mens Tops _ T-shirts/Nike 32 Men_s Short-Sleeve T-Shirt.png,,3,1
1,4176,Nike,T-Shirts,Mens Tops _ T-shirts,Mens,  Men_S T-Shirt,Nike/Mens Tops _ T-shirts/Nike 23 Men_s T-Shirt.png,,3,1
1,4193,Nike,T-Shirts,Mens Tops _ T-shirts,Mens,  Men_S Basketball T-Shirt,Nike/Mens Tops _ T-shirts/Nike 39 Men_s Basketball T-Shirt.png,,3,1
1,5603,Saint Laurent,Jeans,Mens Denim,Mens, Tokyo Black Stretch Denim Skinny Jeans,Saint_Laurent/Mens Denim/93 tokyo black stretch denim skinny jeans.jpg,,3,1
1,5589,Saint Laurent,Jeans,Mens Denim,Mens, Slim-Fit Jeans In Grey Off-White Denim,Saint_Laurent/Mens Denim/109 slim-fit jeans in grey off-white denim.jpg,,3,1
1,5697,Saint Laurent,Polos,Mens Polo,Mens, Monogram Polo Shirt,Saint_Laurent/Mens Polo/43 monogram polo shirt.jpg,,3,1
1,5757,Saint Laurent,T-Shirts,Mens T-shirt,Mens, Surfer T-Shirt,Saint_Laurent/Mens T-shirt/1 surfer t-shirt.jpg,,3,1
1,5784,Saint Laurent,T-Shirts,Mens T-shirt,Mens, Saint Laurent Rive Gauche Dévoré T-Shirt,Saint_Laurent/Mens T-shirt/9 saint laurent rive gauche dévoré t-shirt.jpg,,3,1
1,6206,Uniqlo,Polos,Mens Polo-shirt,Mens,  Dry Pique Short Sleeve Polo Shirt ,Uniqlo/Mens Polo-shirt/Uniqlo 181 DRY PIQUE SHORT SLEEVE POLO SHIRT 433038.jpg,,3,1
1,6219,Uniqlo,Polos,Mens Polo-shirt,Mens,  Dry-Ex Designed Polo Shirt ,Uniqlo/Mens Polo-shirt/Uniqlo 194 DRY-EX DESIGNED POLO SHIRT 434199.jpg,,3,1
1,6208,Uniqlo,Polos,Mens Polo-shirt,Mens,  Airism Pique Polo Shirt ,Uniqlo/Mens Polo-shirt/Uniqlo 183 AIRism PIQUE POLO SHIRT 436181.jpg,,3,1
1,6229,Uniqlo,Shorts,Mens Shorts,Mens,  Chino Shorts (Inseam -.Cm) ,Uniqlo/Mens Shorts/Uniqlo 44 CHINO SHORTS (INSEAM 24-27.5CM) 425143.jpg,,3,1
1,6247,Uniqlo,Shorts,Mens Shorts,Mens,  Jw Anderson Pleated Chino Shorts (Inseam -.Cm) ,Uniqlo/Mens Shorts/Uniqlo 73 JW ANDERSON PLEATED CHINO SHORTS (INSEAM 21-24.5CM) 440286.jpg,,3,1
1,6189,Uniqlo,T-Shirts,Mens Longsleeves_T-shirt,Mens,  U Heattech Cotton Crew Neck Long Sleeve T-Shirt ,Uniqlo/Mens Longsleeves_T-shirt/Uniqlo 206 U HEATTECH COTTON CREW NECK LONG SLEEVE T-SHIRT 432513.jpg,,3,1
1,6266,Uniqlo,T-Shirts,Mens T-shirts_tanktops,Mens,  Airism Cotton Crew Neck T-Shirt (Short Sleeve) ,Uniqlo/Mens T-shirts_tanktops/Uniqlo 160 AIRism COTTON CREW NECK T-SHIRT (SHORT SLEEVE) 434169.jpg,,3,1
1,6138,Uniqlo,T-Shirts,Mens Casual-shirts,Mens,  Denim Dobby Long Sleeve Shirt ,Uniqlo/Mens Casual-shirts/Uniqlo 268 DENIM DOBBY LONG SLEEVE SHIRT 430917.jpg,,3,1
1,6165,Uniqlo,T-Shirts,Mens Formal-shirts,Mens,  +J Supima Cotton Regular Fit Long Sleeve Shirt ,Uniqlo/Mens Formal-shirts/Uniqlo 311 +J SUPIMA COTTON REGULAR FIT LONG SLEEVE SHIRT 440460.jpg,,3,1
1,4442,Ralph Lauren,Jeans,MEN_jeans _ denim,Mens,Ralphlaurent  Men_Jeans _ Denim Men,Ralph_Lauren/MEN_jeans _ denim/RalphLaurent 6 MEN_jeans _ denim men.jpg,,3,1
1,4410,Ralph Lauren,Jeans,MEN_jeans _ denim,Mens,Ralphlaurent  Men_Jeans _ Denim Men,Ralph_Lauren/MEN_jeans _ denim/RalphLaurent 23 MEN_jeans _ denim men.jpg,,3,1
1,4829,Ralph Lauren,Jumpers,MEN_sweatershirts _ sweatpants _ hoodies,Mens,Ralphlaurent  Men_Sweatershirts _ Sweatpants _ Hoodies Men,Ralph_Lauren/MEN_sweatershirts _ sweatpants _ hoodies/RalphLaurent 21 MEN_sweatershirts _ sweatpants _ hoodies men.jpg,,3,1
1,4527,Ralph Lauren,Polos,MEN_polo-shirts,Mens,Ralphlaurent  Men_Polo-Shirts Men,Ralph_Lauren/MEN_polo-shirts/RalphLaurent 171 MEN_polo-shirts men.jpg,,3,1
1,4677,Ralph Lauren,Shorts,MEN_shorts _ swim trunks,Mens,Ralphlaurent  Men_Shorts _ Swim Trunks Men,Ralph_Lauren/MEN_shorts _ swim trunks/RalphLaurent 48 MEN_shorts _ swim trunks men.jpg,,3,1
2,496,Adidas,T-Shirts,Mens T-Shirts,Mens,  Essentials Embroidered Linear Logo Tee,Adidas/Mens T-Shirts/Adidas 90 ESSENTIALS EMBROIDERED LINEAR LOGO TEE.jpg,,20,7
