ID,Brand,Category,Gender,Name,Image URL
0,Brooks Brothers,Shorts,Men,Madras Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00252_BLUE-MULTI
1,Brooks Brothers,Shorts,Men,"Embroidered Washed Chino 10"" Bermuda Shorts",https://brooksbrothers.scene7.com/is/image/BrooksBrothers/DY00015_MULTI
2,Brooks Brothers,Shorts,Men,Seersucker Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00251_LIGHT-BLUE-HEATHER
3,Brooks Brothers,Shorts,Men,"Washed Chino 10"" Bermuda Shorts",https://brooksbrothers.scene7.com/is/image/BrooksBrothers/DY00014_LIGHT-YELLOW
4,Brooks Brothers,Shorts,Men,Flat Front Stretch Advantage Chino® Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00191_DARK-KHAKI
5,Brooks Brothers,Shorts,Men,Drawstring Sweatshorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00257_DARK-GREEN
6,Brooks Brothers,Shorts,Men,"Stretch Garment-Dyed 10"" Shorts",https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00254_BRICK
7,Brooks Brothers,Shorts,Men,Linen and Cotton Bermuda Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00193_NAVY
8,Brooks Brothers,Shorts,Men,"9 "" Tech Shorts",https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00240_BLUE
9,Brooks Brothers,Shorts,Men,Cotton Seersucker Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/RY00104_ROSE
10,Brooks Brothers,Shorts,Men,Patchwork Madras Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00253_BLUE
11,Brooks Brothers,Shorts,Men,Multi-Stripe Seersucker Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00250_MULTI
12,Brooks Brothers,Shorts,Men,"Garment-Dyed 10"" Bermuda Shorts",https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00184_BABY-BLUE
13,Brooks Brothers,Shorts,Men,Big & Tall Flat Front Stretch Advantage Chino® Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/XY00001_GREY
14,Brooks Brothers,Shorts,Men,Pleat Front Stretch Advantage Chino® Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00192_GREY
15,Brooks Brothers,Shorts,Men,Big & Tall Pleat Front Stretch Advantage Chino® Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/XY00002_GREY
16,Brooks Brothers,Shorts,Men,"10"" Indigo Dobby Shorts",https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00238_NAVY
17,Brooks Brothers,Shorts,Men,"10"" Indigo Broken Twiil Shorts",https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00239_NAVY
18,Brooks Brothers,Shorts,Men,"Cotton-Linen 9"" Chino Shorts",https://brooksbrothers.scene7.com/is/image/BrooksBrothers/RY00098_ROSE
19,Brooks Brothers,Shorts,Men,Nautical Print Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00210_OATMEAL
20,Brooks Brothers,Shorts,Men,Paisley Print Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00219_NAVY
21,Brooks Brothers,Shorts,Men,Linen and Cotton Fun Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00208_MULTI
22,Brooks Brothers,Shorts,Men,"Cotton-Linen 7"" Chino Shorts",https://brooksbrothers.scene7.com/is/image/BrooksBrothers/RY00099_OLIVE
23,Brooks Brothers,Shorts,Men,Houndstooth Cotton and Linen Bermuda Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00170_WHITE
