ID,Brand,Category,Gender,Name,Image URL
0,Brooks Brothers,Suits,Men,Regent Fit Three-Piece Linen Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01072_NAVY
1,Brooks Brothers,Suits,Men,Regent Fit Two-Button Grey Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01040_GREY
2,Brooks Brothers,Suits,Men,Milano Fit Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01073_BEIGE
3,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Windowpane Wool Suit Jacket,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00955_MEDIUM-GREY
4,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Windowpane Wool Suit Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00968_MEDIUM-GREY
5,Brooks Brothers,Suits,Men,Milano Fit BrooksCool® Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00745_CHARCOAL
6,Brooks Brothers,Suits,Men,Regent Fit Sharkskin 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00796_BLUE
7,Brooks Brothers,Suits,Men,Milano Fit Combo Check 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01077_BLUE
8,Brooks Brothers,Suits,Men,Madison Fit Three-Button Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01048_NAVY
9,Brooks Brothers,Suits,Men,Regent Fit Stripe Seersucker Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00755_BLUE-IVORY
10,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Wool Suit Jacket,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00945_BLACK
11,Brooks Brothers,Suits,Men,BrooksGate™ Regent-Fit Wool Twill Suit Jacket,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00946_BLUE
12,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Wool Suit Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00958_BLACK
13,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Windowpane Wool Twill Suit Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00966_BLUE
14,Brooks Brothers,Suits,Men,Regent Fit Three-Piece Irish Linen Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00980_WHITE
