ID,Brand,Category,Gender,Name,Image URL
0,Brooks Brothers,Dresses,,Floral-Print Cotton Sateen Shirt Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00024_NAVY-WHITE
1,Brooks Brothers,Dresses,,Cotton Sateen Shirt Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00023_RED
2,Brooks Brothers,Dresses,,Floral Jacquard Sheath Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00030_WHITE-BLACK
3,Brooks Brothers,Dresses,,Linen Shirt Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00040_LIGHT-BEIGE
4,Brooks Brothers,Dresses,,Floral-Print Stretch Cotton Sateen Sheath Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00038_WHITE
5,Brooks Brothers,Dresses,,Striped Seersucker Sheath Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00042_BLUE-WHITE
6,Brooks Brothers,Dresses,,Striped Ponte-Knit Shift Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00036_NAVY-WHITE
7,Brooks Brothers,Dresses,,Fringe-Trimmed Boucle Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SX00292_WHITE
8,Brooks Brothers,Dresses,,Floral-Embroidered Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WX00604_RED-WHITE
9,Brooks Brothers,Dresses,,Pintucked Cotton Taffeta Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WX00616_BURNT-ORANGE
10,Brooks Brothers,Dresses,,Floral-Print Cotton Poplin Shirt Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00044_WHITE
11,Brooks Brothers,Dresses,,Wool Sheath Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WX00441_BLACK
12,Brooks Brothers,Dresses,,Ponte Knit Button-Detail A-Line Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SX00328_NAVY
13,Brooks Brothers,Dresses,,Floral-Print Silk Georgette Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WX00614_BEIGE-MULTI
14,Brooks Brothers,Dresses,,Floral-Embroidered Stretch Cotton Canvas Shift Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WX00610_DARK-TEAL
15,Brooks Brothers,Dresses,,Stretch Cotton Dobby Shawl-Collar Shirt Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00037_WHITE
16,Brooks Brothers,Dresses,,Striped Cotton Dobby Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WX00605_BLUE-WHITE
17,Brooks Brothers,Dresses,,Ruffled Cotton Eyelet Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SX00298_BLACK
18,Brooks Brothers,Dresses,,Stretch Cotton Pique Polo Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00035_NAVY
19,Brooks Brothers,Dresses,,Floral Eyelet Faux Wrap Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WX00593_NAVY
20,Brooks Brothers,Dresses,,Bias-Cut Linen Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00041_CHAMBRAY
21,Brooks Brothers,Dresses,,Floral-Embroidered Cotton Eyelet Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SX00309_WHITE-BLUE
22,Brooks Brothers,Dresses,,Twill Shift Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SX00312_BLUE
23,Brooks Brothers,Dresses,,Ruched Jersey Sheath Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00027_NAVY
