ID,Brand,Category,Gender,Name,Image URL
0,Brooks Brothers,Knitwear,Women,Floral-Patterned Silk-Cashmere Sweater,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WY00818_IVORY
1,Brooks Brothers,Knitwear,Women,Floral-Beaded Striped Cardigan,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WY00819_WHITE-NAVY
2,Brooks Brothers,Knitwear,Women,Lightweight Supima® Cotton Shell,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WY00636_NAVY
3,Brooks Brothers,Knitwear,Women,Supima® Cotton Cropped Cardigan,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WY00699_WHITE
4,Brooks Brothers,Knitwear,Women,Beaded Seahorse Short-Sleeve Cotton Sweater,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SY00243_LIGHT-PINK
5,Brooks Brothers,Knitwear,Women,Supima® Cotton Long Cardigan,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WY00814_FUCHSIA
6,Brooks Brothers,Knitwear,Women,Merino Wool Cardigan,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SY00107_PINK
7,Brooks Brothers,Knitwear,Women,Cotton Pointelle Cardigan,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LY00036_GOLD
8,Brooks Brothers,Knitwear,Women,Lightweight Supima® Cotton Cardigan,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WY00635_WHITE
9,Brooks Brothers,Knitwear,Women,Textured Short-Sleeve Sweater,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WY00821_DARK-RED
10,Brooks Brothers,Knitwear,Women,Scalloped-Trim Rib-Knit Cropped Cardigan,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WY00815_NAVY
11,Brooks Brothers,Knitwear,Women,Cable-Knit Cotton Sweater,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LY00027_LIGHT-BLUE
12,Brooks Brothers,Knitwear,Women,Striped Shimmer-Knit Sweater,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LY00034_WHITE-MULTI
13,Brooks Brothers,Knitwear,Women,Cotton Pointelle-Yoke Tank,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SY00242_BLACK
14,Brooks Brothers,Knitwear,Women,Metallic Rib-Knit Cardigan,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WY00778_BLUE
15,Brooks Brothers,Knitwear,Women,Striped Short-Sleeve Shell,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WY00820_WHITE-NAVY
16,Brooks Brothers,Knitwear,Women,Geometric-Pattern Shell,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WY00823_CAMEL-BURGUNDY
17,Brooks Brothers,Knitwear,Women,Metallic Rib-Knit Shell,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WY00779_BLUE
18,Brooks Brothers,Knitwear,Women,Grosgrain-Trimmed Cotton Cardigan,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WY00816_NAVY
19,Brooks Brothers,Knitwear,Women,Striped Merino Wool Sweater,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SY00252_GREEN-MULTI
20,Brooks Brothers,Knitwear,Women,Dolman-Sleeve Sweater,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SY00250_BROWN
21,Brooks Brothers,Knitwear,Women,Peter Pan Collar Diamond-Stitch Cotton Sweater,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LY00030_BLUE
22,Brooks Brothers,Knitwear,Women,Geometric-Pattern Cardigan,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WY00822_CAMEL-BURGUNDY
23,Brooks Brothers,Knitwear,Women,Floral-Print Cotton Sweater,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SY00248_IVORY-MULTI
24,Brooks Brothers,Knitwear,Women,Striped Merino Wool Cardigan,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SY00255_NAVY-BURGUNDY
25,Brooks Brothers,Knitwear,Women,Silk-Cashmere Shawl-Collar Sweater,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WY00605_NATURAL
26,Brooks Brothers,Knitwear,Women,Striped Cotton Shell,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SY00238_GREEN
27,Brooks Brothers,Knitwear,Women,Crochet Lace-Trimmed Cotton Sleeveless Polo,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SY00244_WHITE
28,Brooks Brothers,Knitwear,Women,Tie-Neck Cotton Cardigan,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SY00237_BLACK
29,Brooks Brothers,Knitwear,Women,Cable-Knit Cashmere Turtleneck,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WY00832_LIGHT-BLUE
30,Brooks Brothers,Knitwear,Women,Logo-Embroidered Cotton Tennis Sweater,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SY00227_WHITE
31,Brooks Brothers,Knitwear,Women,Knit Rowing Blazer,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SY00225_WHITE
