ID,Brand,Category,Gender,Name,Image URL
0,Brooks Brothers,Tops,Women,Flounce-Sleeve Top,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SN00110_LIGHT-BLUE
1,Brooks Brothers,Tops,Women,Floral-Print Supima® Cotton Sateen Tunic,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WV01064_WHITE
2,Brooks Brothers,Tops,Women,Fringe-Trimmed Cotton Sateen Tunic,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LV00099_RED
3,Brooks Brothers,Tops,Women,Costal-Print Linen-Cotton Camp Shirt,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SV00241_WHITE-MULTI
4,Brooks Brothers,Tops,Women,Scoop-Neck T-Shirt,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SN00095_DARK-GREEN
5,Brooks Brothers,Tops,Women,Beach Graphic T-Shirt,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SN00112_WHITE
6,Brooks Brothers,Tops,Women,Pleated Poplin Blouse,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SV00238_YELLOW
7,Brooks Brothers,Tops,Women,Floral-Print Cotton Poplin Blouse,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LV00104_WHITE
8,Brooks Brothers,Tops,Women,Cotton Poplin Sleeveless Blouse,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LV00101_AQUA
9,Brooks Brothers,Tops,Women,Silk Georgette Bow-Neck Blouse,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WV01074_IVORY
10,Brooks Brothers,Tops,Women,Striped Jersey Dolman-Sleeve Top,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LN00035_YELLOW
11,Brooks Brothers,Tops,Women,Stretch Cotton Jersey V-Neck T-Shirt,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LN00027_LAVENDER
12,Brooks Brothers,Tops,Women,Cotton Eyelet Bell-Sleeve Blouse,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SV00243_WHITE
13,Brooks Brothers,Tops,Women,Linen Three-Quarter Sleeve Shirt,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WV01059_PINK
14,Brooks Brothers,Tops,Women,Non-Iron Striped Stretch Cotton Fitted Shirt,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WV01070_RED
15,Brooks Brothers,Tops,Women,Striped Stretch-Cotton Jersey V-Neck T-Shirt,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LN00031_CORAL
16,Brooks Brothers,Tops,Women,Stretch Cotton Jersey Crewneck T-Shirt,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LN00025_RED
17,Brooks Brothers,Tops,Women,Non-Iron Striped Supima® Cotton Ruffle-Collar Sleeveless Blouse,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WV01058_BLUE-MULTI
18,Brooks Brothers,Tops,Women,Non-Iron Tailored-Fit Supima® Cotton Dress Shirt,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WV00759_LIGHT-PINK
19,Brooks Brothers,Tops,Women,Polka-Dot Stretch Cotton Pique-Knit Polo Shirt,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LN00032_NAVY
20,Brooks Brothers,Tops,Women,Ruffled Crepe Blouse,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WV01053_YELLOW
21,Brooks Brothers,Tops,Women,Scalloped-Striped Bateau-Neck T-Shirt,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LN00037_WHITE
22,Brooks Brothers,Tops,Women,Floral-Embroidered Stretch Cotton Tunic,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LV00098_PINK
23,Brooks Brothers,Tops,Women,Flamingo-Embroidered  Stretch Cotton Pique Sleeveless Polo Shirt,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LN00034_TURQUOISE
24,Brooks Brothers,Tops,Women,Tailored-Fit Watermelon-Printed Shirt,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LV00100_PINK
25,Brooks Brothers,Tops,Women,Classic-Fit Striped Cotton Dobby Luxury Shirt,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WV01045_PINK-WHITE
26,Brooks Brothers,Tops,Women,Rhinestone-Embellished Linen Tunic,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WV01054_PEACH
27,Brooks Brothers,Tops,Women,Striped Stretch Cotton Jersey T-Shirt,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LN00038_TURQUOISE
28,Brooks Brothers,Tops,Women,Striped Linen-Cotton-Blend Tunic,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LV00096_KHAKI
29,Brooks Brothers,Tops,Women,Non-Iron Striped Supima® Cotton Dobby Contrast-Collar Fitted Shirt,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WV01061_BLUE-WHITE
