ID,Brand,Category,Name,Price,Image URL
0,BOSS,Dresses,Openwork short-sleeved dress with polo collar,"
HK$ 3,200.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453889_118_350?$large$=&fit=crop%2C1&align=1%2C1
1,BOSS,Dresses,Ottoman-jersey dress with cutaway sleeves and concealed zip,"
HK$ 2,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453402_001_350?$large$=&fit=crop%2C1&align=1%2C1
2,BOSS,Dresses,Silk dress with all-over print and stand collar,"
HK$ 5,100.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447645_962_350?$large$=&fit=crop%2C1&align=1%2C1
3,BOSS,Dresses,Striped tunic-style dress in cotton-blend fabric,"
HK$ 2,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50451397_262_350?$large$=&fit=crop%2C1&align=1%2C1
4,BOSS,Dresses,A-line crepe maxi dress with deep V neckline,"
HK$ 3,400.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50456643_001_350?$large$=&fit=crop%2C1&align=1%2C1
5,BOSS,Dresses,Broderie-anglaise dress with ruched cutaway back,"
HK$ 3,900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50451274_100_350?$large$=&fit=crop%2C1&align=1%2C1
6,BOSS,Dresses,V-neck shift dress in double-faced stretch fabric,"
HK$ 3,900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453558_618_350?$large$=&fit=crop%2C1&align=1%2C1
7,BOSS,Dresses,Structured-jersey shift dress with asymmetric neckline,"
HK$ 3,900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453560_466_350?$large$=&fit=crop%2C1&align=1%2C1
8,BOSS,Dresses,Jersey maxi dress with plissé detailing,"
HK$ 3,400.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453404_001_350?$large$=&fit=crop%2C1&align=1%2C1
9,BOSS,Dresses,Stretch-jersey shift dress with contrast details,"
HK$ 3,900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453615_001_350?$large$=&fit=crop%2C1&align=1%2C1
10,BOSS,Dresses,Short-sleeved dress in Italian stretch wool,"
HK$ 4,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50395627_001_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
11,BOSS,Dresses,Short-sleeved dress in Italian stretch wool,"
HK$ 4,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50395627_480_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
12,BOSS,Dresses,Striped shirt dress in stretch cotton-blend fabric,"
HK$ 2,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50455555_330_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
13,BOSS,Dresses,A-line crepe maxi dress with deep V neckline,"
HK$ 3,400.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50456643_330_350?$large$=&fit=crop%2C1&align=1%2C1
14,BOSS,Dresses,Crinkle-crepe midi dress with ruched neckline,"
HK$ 4,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453457_118_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
15,BOSS,Dresses,Crinkle-crepe midi dress with ruched neckline,"
HK$ 4,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453457_330_350?$large$=&fit=crop%2C1&align=1%2C1
16,BOSS,Dresses,Short-sleeved shirt dress in lightweight stretch poplin,"
HK$ 3,700.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453544_330_350?$large$=&fit=crop%2C1&align=1%2C1
17,BOSS,Dresses,Short-sleeved knitted dress in mixed structures,"
HK$ 3,400.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453064_960_350?$large$=&fit=crop%2C1&align=1%2C1
18,BOSS,Dresses,Short-sleeved shift dress in bonded lace,"
HK$ 5,100.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453439_118_350?$large$=&fit=crop%2C1&align=1%2C1
19,BOSS,Dresses,Silk-trimmed sleeveless dress in chiffon with keyhole closure,"
HK$ 5,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447618_466_350?$large$=&fit=crop%2C1&align=1%2C1
20,BOSS,Dresses,V-neck midi dress in recycled plissé chiffon,"
HK$ 6,200.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453440_675_350?$large$=&fit=crop%2C1&align=1%2C1
21,BOSS,Dresses,Oversized-fit embellished dress in cotton and linen,"
HK$ 6,700.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50460340_100_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
22,BOSS,Dresses,One-shoulder tie-neck maxi dress in crinkle crepe,"
HK$ 6,200.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453476_118_350?$large$=&fit=crop%2C1&align=1%2C1
23,BOSS,Dresses,Cutout-detail shift dress in a colour-blocked style,"
HK$ 3,900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447891_466_350?$large$=&fit=crop%2C1&align=1%2C1
24,BOSS,Dresses,Trench-inspired shirt dress in a stretch-cotton blend,"
HK$ 3,400.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50427524_466_350?$large$=&fit=crop%2C1&align=1%2C1
