ID,Brand,Category,Name,Price,Image URL
0,BOSS,Men's Knitwear,Unisex relaxed-fit cardigan in cotton with exclusive logo,"
HK$ 3,700.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50458003_404_350?$large$=&fit=crop%2C1&align=1%2C1
1,BOSS,Men's Knitwear,Slim-fit T-shirt with long sleeves in waffle cotton,"
HK$ 900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50401846_051_350?$large$=&fit=crop%2C1&align=1%2C1
2,BOSS,Men's Knitwear,T-shirt-style sweater in mercerised cotton,"
HK$ 1,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452407_118_350?$large$=&fit=crop%2C1&align=1%2C1
3,BOSS,Men's Knitwear,Slim-fit T-shirt with long sleeves in waffle cotton,"
HK$ 900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50401846_001_350?$large$=&fit=crop%2C1&align=1%2C1
4,BOSS,Men's Knitwear,Hemp-blend sweater with V neckline in regular fit,"
HK$ 2,000.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452400_452_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
5,BOSS,Men's Knitwear,Relaxed-fit jersey jacket in African cotton,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50426622_051_350?$large$=&fit=crop%2C1&align=1%2C1
6,BOSS,Men's Knitwear,Polo-style sweater in micro-structured cotton,"
HK$ 1,900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452412_402_350?$large$=&fit=crop%2C1&align=1%2C1
7,BOSS,Men's Knitwear,Crew-neck sweater in virgin wool,"
HK$ 1,850.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50378575_402_350?$large$=&fit=crop%2C1&align=1%2C1
8,BOSS,Men's Knitwear,Relaxed-fit hooded cardigan with Coolmax® finishing,"
HK$ 3,700.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50448692_001_350?$large$=&fit=crop%2C1&align=1%2C1
9,BOSS,Men's Knitwear,Crew-neck sweater in virgin wool,"
HK$ 1,850.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50378575_001_350?$large$=&fit=crop%2C1&align=1%2C1
10,BOSS,Men's Knitwear,Slim-fit sweater in cotton with rolled-edge collar,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452448_428_350?$large$=&fit=crop%2C1&align=1%2C1
11,BOSS,Men's Knitwear,Slim-fit T-shirt with long sleeves in waffle cotton,"
HK$ 900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50401846_404_350?$large$=&fit=crop%2C1&align=1%2C1
12,BOSS,Men's Knitwear,T-shirt-style sweater in mercerised cotton,"
HK$ 1,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452407_452_350?$large$=&fit=crop%2C1&align=1%2C1
13,BOSS,Men's Knitwear,Mesh-detail logo sweater in organic cotton,"
HK$ 1,700.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452343_057_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
14,BOSS,Men's Knitwear,Zip-neck colour-block sweater with water-repellent finish,"
HK$ 2,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50446970_410_350?$large$=&fit=crop%2C1&align=1%2C1
15,BOSS,Men's Knitwear,Water-repellent zip-neck sweater in organic cotton,"
HK$ 1,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452336_447_350?$large$=&fit=crop%2C1&align=1%2C1
16,BOSS,Men's Knitwear,Zip-neck sweater in pure cotton with logo embroidery,"
HK$ 1,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50419988_001_350?$large$=&fit=crop%2C1&align=1%2C1
17,BOSS,Men's Knitwear,Short-sleeved cardigan knitted in mercerised cotton,"
HK$ 2,000.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452410_118_350?$large$=&fit=crop%2C1&align=1%2C1
18,BOSS,Men's Knitwear,Relaxed-fit cotton cardigan with silicone logo badge,"
HK$ 2,000.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50446537_021_350?$large$=&fit=crop%2C1&align=1%2C1
19,BOSS,Men's Knitwear,Short-sleeved polo sweater with zipped neck,"
HK$ 1,700.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50449958_268_350?$large$=&fit=crop%2C1&align=1%2C1
20,BOSS,Men's Knitwear,Slim-fit T-shirt with long sleeves in waffle cotton,"
HK$ 900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50401846_105_350?$large$=&fit=crop%2C1&align=1%2C1
21,BOSS,Men's Knitwear,Bomber-jacket-style cardigan in cotton and virgin wool,"
HK$ 2,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50449963_489_350?$large$=&fit=crop%2C1&align=1%2C1
22,BOSS,Men's Knitwear,Water-repellent zip-neck sweater in organic cotton,"
HK$ 1,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452336_402_350?$large$=&fit=crop%2C1&align=1%2C1
23,BOSS,Men's Knitwear,T-shirt-style sweater in mercerised cotton,"
HK$ 1,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452407_402_350?$large$=&fit=crop%2C1&align=1%2C1
24,BOSS,Men's Knitwear,Slim-fit sweater in cotton with rolled-edge collar,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452448_404_350?$large$=&fit=crop%2C1&align=1%2C1
25,BOSS,Men's Knitwear,Regular-fit polo sweater with logo transfer,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452293_404_350?$large$=&fit=crop%2C1&align=1%2C1
26,BOSS,Men's Knitwear,Slim-fit sweater in cotton with rolled-edge collar,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452448_272_350?$large$=&fit=crop%2C1&align=1%2C1
27,BOSS,Men's Knitwear,Cotton V-neck sweater with two-tone structure,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50451090_262_350?$large$=&fit=crop%2C1&align=1%2C1
28,BOSS,Men's Knitwear,Short-sleeved sweater in Ramie and cotton,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50449960_736_350?$large$=&fit=crop%2C1&align=1%2C1
29,BOSS,Men's Knitwear,Regular-fit polo sweater with logo transfer,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452293_272_350?$large$=&fit=crop%2C1&align=1%2C1
30,BOSS,Men's Knitwear,Organic-cotton sweater with contrast curved logo,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50440679_001_350?$large$=&fit=crop%2C1&align=1%2C1
31,BOSS,Men's Knitwear,Short-sleeved cardigan knitted in mercerised cotton,"
HK$ 2,000.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452410_402_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
32,BOSS,Men's Knitwear,Cotton V-neck sweater with two-tone structure,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50451090_272_350?$large$=&fit=crop%2C1&align=1%2C1
33,BOSS,Men's Knitwear,Regular-fit logo sweater in organic cotton and hemp,"
HK$ 1,700.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447089_001_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
34,BOSS,Men's Knitwear,Crew-neck sweater in Italian cotton with contrast detailing,"
HK$ 1,700.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50449920_030_350?$large$=&fit=crop%2C1&align=1%2C1
