ID,Brand,Category,Gender,Name,Price,Image URL
0,BOSS,Suits,Men,Three-piece regular-fit suit in patterned virgin wool,"
HK$ 9,000.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50460585_402_300?$large$=&fit=crop%2C1&align=1%2C1
1,BOSS,Suits,Men,Slim-fit suit in micro-patterned virgin wool,"
HK$ 7,900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50432878_449_300?$large$=&fit=crop%2C1&align=1%2C1
2,BOSS,Suits,Men,Slim-fit suit in micro-patterned traceable virgin wool,"
HK$ 7,900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50450509_497_300?$large$=&fit=crop%2C1&align=1%2C1
3,BOSS,Suits,Men,Regular-fit suit in micro-patterned virgin wool,"
HK$ 6,200.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50450449_030_300?$large$=&fit=crop%2C1&align=1%2C1
4,BOSS,Suits,Men,Three-piece slim-fit suit in virgin-wool serge,"
HK$ 9,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453637_428_300?$large$=&fit=crop%2C1&align=1%2C1
5,BOSS,Suits,Men,Slim-fit suit in patterned virgin wool,"
HK$ 7,900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50450502_402_300?$large$=&fit=crop%2C1&align=1%2C1
6,BOSS,Suits,Men,Extra-slim-fit suit in checked virgin wool serge,"
HK$ 7,900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50432908_402_300?$large$=&fit=crop%2C1&align=1%2C1
7,BOSS,Suits,Men,Regular-fit suit in virgin-wool serge,"
HK$ 6,200.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50456324_021_300?$large$=&fit=crop%2C1&align=1%2C1
8,BOSS,Suits,Men,Regular-fit suit in micro-patterned virgin-wool serge,"
HK$ 6,200.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452246_405_300?$large$=&fit=crop%2C1&align=1%2C1
9,BOSS,Suits,Men,Regular-fit suit in virgin wool with natural stretch,"
HK$ 6,700.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50450420_402_300?$large$=&fit=crop%2C1&align=1%2C1
10,BOSS,Suits,Men,Slim-fit suit in micro-patterned stretch fabric,"
HK$ 8,400.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50450524_001_300?$large$=&fit=crop%2C1&align=1%2C1
11,BOSS,Suits,Men,Micro-patterned slim-fit suit with soft construction,"
HK$ 6,200.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50450219_268_300?$large$=&fit=crop%2C1&align=1%2C1
12,BOSS,Suits,Men,Micro-patterned slim-fit suit in tropical virgin wool,"
HK$ 7,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50450210_497_300?$large$=&fit=crop%2C1&align=1%2C1
13,BOSS,Suits,Men,Slim-fit suit in patterned virgin-wool serge,"
HK$ 6,200.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50461030_041_300?$large$=&fit=crop%2C1&align=1%2C1
14,BOSS,Suits,Men,Slim-fit suit in organic cotton with stretch,"
HK$ 6,700.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453667_151_300?$large$=&fit=crop%2C1&align=1%2C1
15,BOSS,Suits,Men,Regular-fit suit in micro-patterned virgin-wool serge,"
HK$ 6,200.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50450466_497_300?$large$=&fit=crop%2C1&align=1%2C1
16,BOSS,Suits,Men,Regular-fit suit in micro-patterned virgin-wool serge,"
HK$ 6,200.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452247_030_300?$large$=&fit=crop%2C1&align=1%2C1
17,BOSS,Suits,Men,Slim-fit suit in virgin-wool serge,"
HK$ 7,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453636_301_300?$large$=&fit=crop%2C1&align=1%2C1
18,BOSS,Suits,Men,Three-piece slim-fit suit in patterned virgin wool,"
HK$ 9,000.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50446213_417_300?$large$=&fit=crop%2C1&align=1%2C1
19,BOSS,Suits,Men,Extra-slim-fit three-piece suit in wool serge,"
HK$ 8,400.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50454420_402_300?$large$=&fit=crop%2C1&align=1%2C1
20,BOSS,Suits,Men,Extra-slim-fit three-piece suit in virgin wool,"
HK$ 9,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50446206_417_300?$large$=&fit=crop%2C1&align=1%2C1
21,BOSS,Suits,Men,Regular-fit suit in stretch cotton,"
HK$ 8,400.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50460022_363_300?$large$=&fit=crop%2C1&align=1%2C1
22,BOSS,Suits,Men,Slim-fit suit in micro-patterned virgin-wool serge,"
HK$ 6,700.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50444066_001_300?$large$=&fit=crop%2C1&align=1%2C1
23,BOSS,Suits,Men,Slim-fit suit in checked virgin wool,"
HK$ 9,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50450258_224_300?$large$=&fit=crop%2C1&align=1%2C1
24,BOSS,Suits,Men,Extra-slim-fit suit in virgin-wool serge,"
HK$ 7,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453652_061_300?$large$=&fit=crop%2C1&align=1%2C1
25,BOSS,Suits,Men,Slim-fit three-piece suit in virgin-wool serge,"
HK$ 9,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50454429_473_300?$large$=&fit=crop%2C1&align=1%2C1
26,BOSS,Suits,Men,Slim-fit three-piece suit in virgin wool and silk,"
HK$ 9,000.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50450506_266_300?$large$=&fit=crop%2C1&align=1%2C1
27,BOSS,Suits,Men,Slim-fit three-piece suit in a wool blend,"
HK$ 9,000.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50444189_402_300?$large$=&fit=crop%2C1&align=1%2C1
28,BOSS,Suits,Men,Extra-slim-fit suit in checked stretch wool,"
HK$ 10,500.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50450358_224_300?$large$=&fit=crop%2C1&align=1%2C1
29,BOSS,Suits,Men,Extra-slim-fit suit in seersucker cloth,"
HK$ 7,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50454540_402_300?$large$=&fit=crop%2C1&align=1%2C1
30,BOSS,Suits,Men,Slim-fit suit in checked virgin wool,"
HK$ 8,400.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50450241_497_300?$large$=&fit=crop%2C1&align=1%2C1
31,BOSS,Suits,Men,Slim-fit three-piece suit in micro-patterned virgin wool,"
HK$ 9,600.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50444218_402_300?$large$=&fit=crop%2C1&align=1%2C1
32,BOSS,Suits,Men,Regular-fit suit in checked virgin-wool serge,"
HK$ 8,400.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50438509_030_300?$large$=&fit=crop%2C1&align=1%2C1
33,BOSS,Suits,Men,Extra-slim-fit wool-blend suit with silk trims,"
HK$ 8,400.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452112_402_300?$large$=&fit=crop%2C1&align=1%2C1
