ID,Brand,Category,Name,Price,Image URL
0,BOSS,Shorts,Slim-fit shorts in structured stretch cotton,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452793_452_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
1,BOSS,Shorts,Lightweight drawstring shorts in crinkled fabric,"
HK$ 1,800.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453504_301_350?$large$=&fit=crop%2C1&align=1%2C1
2,BOSS,Shorts,Tapered-fit shorts in Italian jersey with exclusive logo,"
HK$ 1,900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50458890_680_350?$large$=&fit=crop%2C1&align=1%2C1
3,BOSS,Shorts,Relaxed-fit shorts in printed stretch-cotton twill,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50449596_224_350?$large$=&fit=crop%2C1&align=1%2C1
4,BOSS,Shorts,Slim-fit shorts in bi-stretch cotton-blend twill,"
HK$ 1,700.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453474_402_350?$large$=&fit=crop%2C1&align=1%2C1
5,BOSS,Shorts,Slim-fit shorts in micro-patterned stretch fabric,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50450874_404_350?$large$=&fit=crop%2C1&align=1%2C1
6,BOSS,Shorts,Slim-fit shorts in lightweight fabric with botanical print,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447925_961_350?$large$=&fit=crop%2C1&align=1%2C1
7,BOSS,Shorts,Slim-fit shorts in micro-patterned stretch cotton,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452805_402_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
8,BOSS,Shorts,Slim-fit shorts in structured stretch cotton,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452793_118_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
9,BOSS,Shorts,Tapered-fit shorts in Italian jersey with exclusive logo,"
HK$ 1,900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50458890_492_350?$large$=&fit=crop%2C1&align=1%2C1
10,BOSS,Shorts,Slim-fit shorts in micro-patterned stretch cotton,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50452805_050_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
11,BOSS,Shorts,Slim-fit shorts in bi-stretch cotton-blend twill,"
HK$ 1,700.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453474_001_350?$large$=&fit=crop%2C1&align=1%2C1
12,BOSS,Shorts,Relaxed-fit shorts in stretch-cotton poplin,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50449881_452_350?$large$=&fit=crop%2C1&align=1%2C1
13,BOSS,Shorts,Slim-fit shorts in stretch-cotton twill,"
HK$ 1,150.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447772_404_350?$large$=&fit=crop%2C1&align=1%2C1
14,BOSS,Shorts,Slim-fit shorts in stretch-cotton twill,"
HK$ 1,150.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447772_492_350?$large$=&fit=crop%2C1&align=1%2C1
15,BOSS,Shorts,Slim-fit shorts in stretch jersey with belt loops,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50432201_020_350?$large$=&fit=crop%2C1&align=1%2C1
16,BOSS,Shorts,Tapered-fit shorts in Italian jersey with exclusive logo,"
HK$ 1,900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50458890_272_350?$large$=&fit=crop%2C1&align=1%2C1
17,BOSS,Shorts,Slim-fit shorts in stretch-cotton twill,"
HK$ 1,150.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447772_689_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
18,BOSS,Shorts,Tapered-fit shorts in indigo super-stretch denim,"
HK$ 1,350.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453282_419_350?$large$=&fit=crop%2C1&align=1%2C1
19,BOSS,Shorts,Slim-fit shorts in cotton-blend stretch dobby,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50423114_439_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
20,BOSS,Shorts,Slim-fit shorts in cotton-blend stretch dobby,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50423114_646_350?$large$=&fit=crop%2C1&align=1%2C1
21,BOSS,Shorts,Slim-fit shorts in water-repellent technical twill,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50430358_001_350?$large$=&fit=crop%2C1&align=1%2C1
22,BOSS,Shorts,Slim-fit shorts in water-repellent technical twill,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50430358_410_350?$large$=&fit=crop%2C1&align=1%2C1
23,BOSS,Shorts,Regular-fit stretch-cotton shorts with seasonal print,"
HK$ 1,900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50448805_489_350?$large$=&fit=crop%2C1&align=1%2C1
24,BOSS,Shorts,Slim-fit shorts in cotton-blend jacquard,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50425514_402_350?$large$=&fit=crop%2C1&align=1%2C1
25,BOSS,Shorts,Slim-fit shorts in dark-blue super-stretch denim,"
HK$ 1,350.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50449500_410_350?$large$=&fit=crop%2C1&align=1%2C1
26,BOSS,Shorts,Slim-fit shorts in cotton-blend jacquard,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50425514_102_350?$large$=&fit=crop%2C1&align=1%2C1
27,BOSS,Shorts,Slim-fit shorts in stretch-cotton twill,"
HK$ 1,150.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447772_012_350?$large$=&fit=crop%2C1&align=1%2C1
28,BOSS,Shorts,Slim-fit shorts in cotton-blend stretch dobby,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50423114_410_350?$large$=&fit=crop%2C1&align=1%2C1
29,BOSS,Shorts,Slim-fit shorts in cotton-blend jacquard,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50425514_032_350?$large$=&fit=crop%2C1&align=1%2C1
30,BOSS,Shorts,Slim-fit shorts in stretch-cotton twill,"
HK$ 1,150.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447772_489_350?$large$=&fit=crop%2C1&align=1%2C1
31,BOSS,Shorts,Slim-fit shorts in stretch-cotton twill,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50406679_294_350?$large$=&fit=crop%2C1&align=1%2C1
32,BOSS,Shorts,Slim-fit shorts in stretch-cotton twill,"
HK$ 1,150.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447772_262_350?$large$=&fit=crop%2C1&align=1%2C1
33,BOSS,Shorts,Slim-fit shorts in stretch-cotton twill,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50406679_402_350?$large$=&fit=crop%2C1&align=1%2C1
34,BOSS,Shorts,Slim-fit shorts in cotton-blend jacquard,"
HK$ 1,250.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50425514_489_350?$large$=&fit=crop%2C1&align=1%2C1
35,BOSS,Shorts,Regular-fit shorts in paper-touch cotton poplin,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50448771_268_350?$large$=&fit=crop%2C1&align=1%2C1
36,BOSS,Shorts,Regular-fit shorts in paper-touch cotton poplin,"
HK$ 1,550.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50448771_402_350?$large$=&fit=crop%2C1&align=1%2C1
37,BOSS,Shorts,Slim-fit shorts in stretch-cotton twill,"
HK$ 1,150.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447772_342_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
38,BOSS,Shorts,Tapered-fit shorts in garment-dyed stretch-cotton twill,"
HK$ 1,150.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447763_012_350?$large$=&fit=crop%2C1&align=1%2C1
39,BOSS,Shorts,Tapered-fit shorts in garment-dyed stretch-cotton twill,"
HK$ 1,150.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50447763_404_350?$large$=&fit=crop%2C1&align=1%2C1
40,BOSS,Shorts,Tapered-fit shorts in grey super-stretch denim,"
HK$ 1,350.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50449151_050_350?$large$=&fit=crop%2C1&align=1%2C1
