ID,Brand,Category,Name,Price,Image URL
0,BOSS,Skirts,Pencil skirt in Italian stretch virgin wool,"
HK$ 1,900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50291813_001_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
1,BOSS,Skirts,Pencil skirt in Italian stretch virgin wool,"
HK$ 1,900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50291813_480_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
2,BOSS,Skirts,Slim-fit pencil skirt in Portuguese stretch fabric,"
HK$ 2,000.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50454596_118_350?$large$=&fit=crop%2C1&align=1%2C1
3,BOSS,Skirts,Chino skirt in organic cotton with stretch,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50456647_466_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
4,BOSS,Skirts,Structured-jersey pencil skirt with exposed zip,"
HK$ 1,900.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50454221_466_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
5,BOSS,Skirts,Slim-fit pencil skirt in Portuguese stretch fabric,"
HK$ 2,000.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50454596_330_350?$large$=&fit=crop%2C1&align=1%2C1
6,BOSS,Skirts,Chino skirt in organic cotton with stretch,"
HK$ 1,450.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50456647_262_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
7,BOSS,Skirts,Leaf-print midi skirt in pure silk,"
HK$ 3,700.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50455464_962_350?$large$=&fit=crop%2C1&align=1%2C1
8,BOSS,Skirts,A-line midi skirt with plissé pleats and tonal panels,"
HK$ 4,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50453503_675_350?$large$=&fit=crop%2C1&align=1%2C1
9,BOSS,Skirts,Asymmetric-pocket pencil skirt in stretch organic cotton,"
HK$ 2,300.00
Price
",https://images.hugoboss.com/is/image/boss/hbeu50460339_350_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05
