,ID,Brand,Category,Category Raw,Gender,Name Raw,Price,Image Location,Name
0,0,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 1 ADIDAS SPORTSWEAR GRID PATTERN WOVEN TRACK TOP.png,,Adidas/Mens Jackets/Adidas 1 ADIDAS SPORTSWEAR GRID PATTERN WOVEN TRACK TOP.png,   Sportswear Grid Pattern Woven Track Top
1,1,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 10 RESPONSE JACKET.jpg,,Adidas/Mens Jackets/Adidas 10 RESPONSE JACKET.jpg,  Response Jacket
2,2,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 109 HUMAN MADE TYVEK JACKET.png,,Adidas/Mens Jackets/Adidas 109 HUMAN MADE TYVEK JACKET.png,  Human Made Tyvek Jacket
3,3,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 11 MYSHELTER PARLEY WIND.RDY ANORAK JACKET.png,,Adidas/Mens Jackets/Adidas 11 MYSHELTER PARLEY WIND.RDY ANORAK JACKET.png,  Myshelter Parley Wind.Rdy Anorak Jacket
4,4,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 110 HUMAN MADE DENIM BLAZER.png,,Adidas/Mens Jackets/Adidas 110 HUMAN MADE DENIM BLAZER.png,  Human Made Denim Blazer
5,5,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 111 HUMAN MADE JERSEY BLAZER.png,,Adidas/Mens Jackets/Adidas 111 HUMAN MADE JERSEY BLAZER.png,  Human Made Jersey Blazer
6,6,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 112 HUMAN MADE JACEKT.png,,Adidas/Mens Jackets/Adidas 112 HUMAN MADE JACEKT.png,  Human Made Jacekt
7,7,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 113 CLIMASTORM RIBBED SOFT SHELL JACKET.png,,Adidas/Mens Jackets/Adidas 113 CLIMASTORM RIBBED SOFT SHELL JACKET.png,  Climastorm Ribbed Soft Shell Jacket
8,8,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 12 WUJI DENIM JACKET.png,,Adidas/Mens Jackets/Adidas 12 WUJI DENIM JACKET.png,  Wuji Denim Jacket
9,9,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 13 WUJI DENIM JACKET.png,,Adidas/Mens Jackets/Adidas 13 WUJI DENIM JACKET.png,  Wuji Denim Jacket
10,10,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 14 TERREX XPLORIC RAIN JACKET.png,,Adidas/Mens Jackets/Adidas 14 TERREX XPLORIC RAIN JACKET.png,  Terrex Xploric Rain Jacket
11,11,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 15 R.Y.V. DENIM JACKET.png,,Adidas/Mens Jackets/Adidas 15 R.Y.V. DENIM JACKET.png,  R.Y.V. Denim Jacket
12,12,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 16 R.Y.V. DENIM JACKET.png,,Adidas/Mens Jackets/Adidas 16 R.Y.V. DENIM JACKET.png,  R.Y.V. Denim Jacket
13,13,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 17 BIG TREFOIL SHERPA JACKET.png,,Adidas/Mens Jackets/Adidas 17 BIG TREFOIL SHERPA JACKET.png,  Big Trefoil Sherpa Jacket
14,14,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 18 BIG TREFOIL SHERPA JACKET.png,,Adidas/Mens Jackets/Adidas 18 BIG TREFOIL SHERPA JACKET.png,  Big Trefoil Sherpa Jacket
15,15,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 19 MARATHON TRANSLUCENT JACKET.png,,Adidas/Mens Jackets/Adidas 19 MARATHON TRANSLUCENT JACKET.png,  Marathon Translucent Jacket
